Quartile,Paper Title,Indexed By,Volume,Issue,Publication Date,Publication Type,Cited By
Q2,Information extraction from structured documents using k-testable tree automaton inference,Data and Knowledge Engineering,58,2,2006-08-01,Journal,26
Q1,Direct analysis of powder samples using transversely excited atmospheric CO,Analytical and Bioanalytical Chemistry,400,10,2011-07-01,Journal,26
Q1,Creating relational rents: The effect of business groups on affiliated firms  performance in Indones,Asia Pacific Journal of Management,23,4,2006-12-01,Journal,25
Q1,Subtarget effect on laser plasma generated by transversely excited atmospheric CO,Japanese Journal of Applied Physics; Part 1: Regular Papers and Short Notes and Review Papers,39,5 A,2000-05-01,Journal,25
Q1,Enzyme inactivation in a droplet forming a bubble during drying,Journal of Food Engineering,27,1,1996-01-01,Journal,25
Q2,How effective is UML modeling?: An empirical perspective on costs and benefits,Software and Systems Modeling,11,4,2012-10-01,Journal,24
-,Harvesting real time traffic information from twitter,Procedia Engineering,50,-,2012-12-01,Conference Proceedin,23
Q1,Plasma polymerization of amine-containing thin films and the studies on the deposition kinetics,Surface and Coatings Technology,206,6,2011-12-15,Journal,23
-,Information extraction from web documents based on local unranked tree automaton inference,IJCAI International Joint Conference on Artificial Intelligence,-,-,2003-12-01,Conference Proceedin,22
Q1,Quantitative analysis of deuterium in zircaloy using double-pulse laser-induced breakdown spectromet,Analytical Chemistry,84,5,2012-03-06,Journal,22
-,Antimutagenicity of milk cultured with lactic acid bacteria from Dadih against mutagenic Terasi,Milchwissenschaft,51,9,1996-12-01,Journal,22
Q1,PCA-based image recombination for multimodal 2D + 3D face recognition,Image and Vision Computing,29,5,2011-01-01,Journal,21
Q1,Some notes on the role of meta-stable excited state of helium atom in laser-induced helium gas break,Applied Physics B: Lasers and Optics,86,4,2007-03-01,Journal,21
Q1,P84 polyimide membranes modified by a tripodal amine for enhanced pervaporation dehydration of aceto,Chemical Engineering Science,122,-,2015-01-01,Journal,21
-,Using Vector Space Model in Question Answering System,Procedia Computer Science,59,-,2015-01-01,Conference Proceedin,20
Q2,Information extraction in structured documents using tree automata induction,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and,2431 LNAI,-,2002-12-01,Book Series,20
-,Performance analysis of ECG signal compression using SPIHT,International Journal on Smart Sensing and Intelligent Systems,6,5,2013-01-01,Journal,20
Q1,Levenberg-Marquardt iterative regularization for the pulse-type impact-force reconstruction,Journal of Sound and Vibration,331,25,2012-12-03,Journal,20
Q1,Kernel based regression and genetic algorithms for estimating cutting conditions of surface roughnes,Expert Systems with Applications,39,14,2012-10-15,Journal,19
-,Lowering the Pitch of Your Voice Makes You Feel More Powerful and Think More Abstractly,Social Psychological and Personality Science,3,4,2012-07-01,Journal,19
Q2,Nonlinear chaotic model for predicting storm surges,Nonlinear Processes in Geophysics,17,5,2010-09-16,Journal,19
Q2,Hydrogen analysis in solid samples using laser-induced helium plasma at atmospheric pressure,Journal of Applied Physics,98,4,2005-08-15,Journal,18
Q1,Experimental and numerical modeling of the controllable wettability gradient on poly(propylene) crea,Plasma Processes and Polymers,7,9-10,2010-10-14,Journal,18
Q1,Integrated batch production and maintenance scheduling for multiple items processed on a deteriorati,International Journal of Industrial Engineering Computations,7,2,2016-01-01,Journal,18
Q2,From  lactose intolerance  to  lactose nutrition,Asia Pacific Journal of Clinical Nutrition,24,-,2015-01-01,Journal,18
Q3,Chemical and Aerobic Bacterial Composition of â€œTerasiâ€; a Traditional Fermented Product from Ind,Journal of the Food Hygienic Society of Japan,35,3,1994-01-01,Journal,18
Q2,Measuring change in critical thinking skills of dental students educated in a PBL curriculum,Journal of Dental Education,76,4,2012-04-01,Journal,18
Q2,Best practices for the effectiveness of benchmarking in the Indonesian manufyacturing companies,Benchmarking,17,1,2010-04-13,Journal,18
-,Indoor navigation using adaptive neuro fuzzy controller for servant robot,2010 2nd International Conference on Computer Engineering and Applications; ICCEA 2010,1,-,2010-05-28,Conference Proceedin,17
Q2,A robust obstacle avoidance for service robot using Bayesian approach,International Journal of Advanced Robotic Systems,8,1,2011-03-01,Journal,17
Q2,Multiple moving obstacles avoidance of service robot using stereo vision,Telkomnika,9,3,2011-12-01,Journal,17
-,Improved vertex chain code based mapping algorithm for curve length estimation,Journal of Computer Science,7,5,2011-09-26,Journal,17
-,A Model of Factors Influencing Consumer s Intention to Use E-payment System in Indonesia,Procedia Computer Science,59,-,2015-01-01,Conference Proceedin,17
Q1,Quantitative hydrogen analysis of zircaloy-4 in laser-induced breakdown spectroscopy with ambient he,Applied Optics,46,34,2007-12-01,Journal,17
Q2,Plasma emission induced by an Nd-YAG laser at low pressure on solid organic sample; its mechanism; a,Journal of Applied Physics,97,5,2005-06-27,Journal,17
Q1,Modulation of biocompatibility on poly(vinylidene fluoride) and polysulfone by oxygen plasma treatme,Journal of Biomedical Materials Research - Part A,100 A,11,2012-01-01,Journal,17
-,The individuality of relatively permanent pigmented or vascular skin marks (RPPVSM) in independently,IEEE Transactions on Information Forensics and Security,8,6,2013-06-03,Journal,17
Q1,Effect of glucose in removal of microcystin-LR by viable commercial probiotic strains and strains is,Journal of Agricultural and Food Chemistry,56,10,2008-05-28,Journal,17
Q2,Just friends; good acquaintances or soul mates? An exploration of web site connectedness,Qualitative Market Research: An International Journal,10,3,2007-06-19,Journal,17
Q1,Examining the Internal Structure Evidence for the Performance Assessment for California Teachers: A,Journal of Teacher Education,65,5,2014-01-01,Journal,17
Q2,A biogeography-based optimization algorithm hybridized with tabu search for the quadratic assignment,Computational Intelligence and Neuroscience,2016,-,2016-01-01,Journal,17
Q1,Activities; motives and external factors influencing food safety management system adoption in Malay,Food Control,41,1,2014-07-01,Journal,17
-,Mining frequent pattern with Attribute Oriented Induction High Level Emerging Pattern (AOI-HEP),2014 2nd International Conference on Information and Communication Technology; ICoICT 2014,-,-,2014-01-01,Conference Proceedin,16
-,Using attribute oriented induction high level emerging pattern (AOI-HEP) to mine frequent patterns,International Journal of Electrical and Computer Engineering,6,6,2016-01-01,Journal,16
Q2,Detection of deuterium and hydrogen using laser-induced helium gas plasma at atmospheric pressure,Journal of Applied Physics,98,9,2005-11-01,Journal,16
Q1,Coincidence of density jump and plasma emission front induced by transversely excited atmospheric-pr,Japanese Journal of Applied Physics; Part 2: Letters,39,6 B,2000-06-01,Journal,16
Q2,The role of He in enhancing the intensity and lifetime of H and D emissions from laser-induced atmos,Journal of Applied Physics,105,10,2009-06-11,Journal,16
Q2,Empirical analysis of the relation between level of detail in UML models and defect density,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and,5301 LNCS,-,2008-12-02,Book Series,16
Q2,Evaluating the impact of UML modeling on software quality: An industrial case study,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and,5795 LNCS,-,2009-12-01,Book Series,16
-,The impact of organisational variables and quality performance on customer satisfaction,International Journal of Productivity and Quality Management,6,3,2010-09-01,Journal,16
-,The impact of eco-innovation drivers on environmental performance: Empirical results from the green,Sustainable Production and Consumption,12,-,2017-10-01,Journal,16
-,Feasibility study of natural fiber composite material for engineering application,Journal of Mechanical Engineering and Sciences,6,-,2014-01-01,Journal,15
Q4,Construct validity in neuroresearch,Advanced Science Letters,21,7,2015-01-01,Journal,15
-,Soft computing in optimizing assembly lines balancing,Journal of Computer Science,6,2,2010-05-24,Journal,15
-,Key success factors in implementing strategy: Middle-level managers  perspectives,Procedia - Social and Behavioral Sciences,24,-,2011-11-17,Conference Proceedin,15
Q1,Hypocholesterolemic effect of indigenous dadih lactic acid bacteria by deconjugation of bile salts,Asian-Australasian Journal of Animal Sciences,17,12,2004-01-01,Journal,15
Q1,School-based management developments: Challenges and impacts,Journal of Educational Administration,50,6,2012-09-01,Journal,15
-,Two-vehicle dynamics of the car-following models on realistic driving condition,Jiaotong Yunshu Xitong Gongcheng Yu Xinxi/Journal of Transportation Systems Engineering and Informat,12,2,2012-04-01,Journal,15
-,An empirical study on the contribution of lean practices to environmental performance of the manufac,International Journal of Value Chain Management,6,2,2012-08-01,Journal,15
Q1,Does a firm s innovation category matter in practising eco-innovation? Evidence from the lens of Mal,Journal of Manufacturing Technology Management,27,2,2016-03-07,Journal,15
Q2,Condition diagnosis of multiple bearings using adaptive operator probabilities in genetic algorithms,Neural Computing and Applications,26,1,2014-01-01,Journal,14
-,The Early Detection of Diabetes Mellitus (DM) Using Fuzzy Hierarchical Model,Procedia Computer Science,59,-,2015-01-01,Conference Proceedin,14
Q2,ERiSA: Building emotionally realistic social game-agents companions,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and,8637 LNAI,-,2014-01-01,Book Series,14
-,Color quick response code for mobile content distribution,MoMM2009 - The 7th International Conference on Advances in Mobile Computing and Multimedia,-,-,2009-12-01,Conference Proceedin,14
-,Use data warehouse and data mining to predict student academic performance in schools: A case study,Proceedings of 2013 IEEE International Conference on Teaching; Assessment and Learning for Engineeri,-,-,2013-12-01,Conference Proceedin,14
Q1,Beverage dealcoholization processes: Past; present; and future,Trends in Food Science and Technology,71,-,2018-01-01,Journal,14
Q1,Segmentation of the tourism market for Jakarta: Classification of foreign visitors  lifestyle typolo,Tourism Management Perspectives,19,-,2016-07-01,Journal,14
Q2,Microflora and their enzyme profile in â€œterasiâ€ starter,Bioscience; Biotechnology and Biochemistry,58,6,1994-01-01,Journal,14
Q4,Neural networks based nonlinear time series regression for water level forecasting of dungun river,Journal of Computer Science,8,9,2012-09-18,Journal,14
Q2,Effective local evolutionary searches distributed on an island model solving bi-objective optimizati,Applied Intelligence,38,3,2013-04-01,Journal,14
Q1,Review of state of the art for metaheuristic techniques in Academic Scheduling Problems,Artificial Intelligence Review,44,1,2015-06-01,Journal,14
-,Designing competitive loyalty programs: How types of program affect customer equity,Journal of Targeting; Measurement and Analysis for Marketing,17,4,2009-12-01,Journal,14
-,Discretion and the trafficking-like practices of the Indonesian state,Labour Migration and Human Trafficking in Southeast Asia: Critical Perspectives,-,-,2012-12-01,Book,14
-,The IKEA catalogue: Design fiction in academic and industrial collaborations,Proceedings of the International ACM SIGGROUP Conference on Supporting Group Work,13-16-November-2016,-,2016-11-13,Conference Proceedin,13
Q1,Double pulse spectrochemical analysis using orthogonal geometry with very low ablation energy and He,Spectrochimica Acta - Part B Atomic Spectroscopy,69,-,2012-03-01,Journal,13
Q1,Application of picosecond laser-induced breakdown spectroscopy to quantitative analysis of boron in,Applied Optics,55,32,2016-11-10,Journal,13
Q1,Confinement effect in enhancing shock wave plasma generation at low pressure by TEA CO,Spectrochimica Acta - Part B Atomic Spectroscopy,58,3,2003-03-31,Journal,13
-,Effect of probiotic L. plantarum IS-10506 and zinc supplementation on humoral immune response and zi,Journal of Trace Elements in Medicine and Biology,28,4,2014-10-01,Journal,13
-,Combating obesity through healthy eating behavior: A call for system dynamics optimization,PLoS ONE,9,12,2014-12-15,Journal,13
Q1,Self-addressable memory-based FSM: A scalable intrusion detection engine,IEEE Network,23,1,2009-04-28,Journal,12
-,Detection of cardiovascular disease risk’s level for adults using naive bayes classifier,Healthcare Informatics Research,22,3,2016-07-01,Journal,12
-,Weather forecasting using deep learning techniques,ICACSIS 2015 - 2015 International Conference on Advanced Computer Science and Information Systems; P,-,-,2016-02-19,Conference Proceedin,12
-,Attribute oriented induction of high-level emerging patterns,Proceedings - 2012 IEEE International Conference on Granular Computing; GrC 2012,-,-,2012-12-01,Conference Proceedin,12
Q1,Comparative study of laser-induced plasma emission of hydrogen from zircaloy-2 samples in atmospheri,Applied Physics B: Lasers and Optics,89,2-3,2007-11-01,Journal,12
Q1,Comparative study of Nd:YAG laser-induced breakdown spectroscopy and transversely excited atmospheri,Applied Optics,51,7,2012-03-01,Journal,12
Q1,Quantitative analysis of deuterium using laser-induced plasma at low pressure of helium,Analytical Chemistry,78,16,2006-08-15,Journal,12
Q2,The critical success factors for customer relationship management implementation: A systematic liter,International Journal of Business Information Systems,23,2,2016-01-01,Journal,12
Q3,Risks balancing model of Agri-Supply chain using fuzzy risks utility regression,Journal of Theoretical and Applied Information Technology,41,2,2012-01-01,Journal,12
-,A resource-based theory of supplier strategy,International Journal of Logistics Systems and Management,3,1,2007-01-29,Journal,12
Q3,Lightweight virtualization in cloud computing for research,Communications in Computer and Information Science,516,-,2015-01-01,Book Series,12
-,Effects of nitrogen on crystal growth of sputter-deposited ZnO films for transparent conducting oxid,Japanese Journal of Applied Physics,52,11 PART 2,2013-11-01,Journal,12
-,A Survey of the practice of design - Code correspondence amongst professional software engineers,Proceedings - 1st International Symposium on Empirical Software Engineering and Measurement; ESEM 20,-,-,2007-12-01,Conference Proceedin,12
-,Assessing UML design metrics for predicting fault-prone classes in a Java system,Proceedings - International Conference on Software Engineering,-,-,2010-06-25,Conference Proceedin,12
-,Methodology for evaluating DNA pattern searching algorithms on multiprocessor,Proceedings of the 7th IEEE International Conference on Bioinformatics and Bioengineering; BIBE,-,-,2007-12-01,Conference Proceedin,11
-,Software size measurement of knowledge management portal with use case point,Proceeding - 2016 International Conference on Computer; Control; Informatics and its Applications: R,-,-,2017-02-23,Conference Proceedin,11
Q3,Earthquake hazard zonation using peak ground acceleration (PGA) approach,Journal of Physics: Conference Series,423,1,2013-01-01,Conference Proceedin,11
-,Sleep apnea detection from ECG signal: Analysis on optimal features; principal components; and nonli,5th International Conference on Bioinformatics and Biomedical Engineering; iCBBE 2011,-,-,2011-07-14,Conference Proceedin,11
-,Optimal selection of wavelet thresholding algorithm for ECG signal denoising,ICACSIS 2011 - 2011 International Conference on Advanced Computer Science and Information Systems; P,-,-,2011-12-01,Conference Proceedin,11
Q4,Neuro-research method: A synthesis between hermeneutics and positivism,Advanced Science Letters,22,9,2016-09-01,Journal,11
Q1,Study of hydrogen and deuterium emission characteristics in laser-induced low-pressure helium plasma,Analytical Chemistry,80,4,2008-02-15,Journal,11
Q1,Spectrochemical analysis of powder using 355 nm Nd-YAG laser-induced low-pressure plasma,Analytical and Bioanalytical Chemistry,390,7,2008-04-01,Journal,11
Q1,School-based management developments and partnership: Evidence from Indonesia,International Journal of Educational Development,32,2,2012-03-01,Journal,11
-,The framework of home remote automation system based on smartphone,International Journal of Smart Home,9,1,2015-01-01,Journal,10
Q1,The Effect of Engagement in Online Social Network on Susceptibility to Influence,Journal of Hospitality and Tourism Research,42,2,2018-02-01,Journal,10
Q1,Deep packet pre-filtering and finite state encoding for adaptive intrusion detection system,Computer Networks,55,8,2011-06-01,Journal,10
Q2,Playing with social and emotional game companions,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and,10011 LNAI,-,2016-01-01,Book Series,10
Q4,An approach to detect learning types based on triple-factor in e-learning process,Journal of Next Generation Information Technology,5,1,2014-01-01,Journal,10
-,Attribute Oriented Induction High Level Emerging Pattern (AOI-HEP) future research,Proceedings of 2014 International Conference on Information; Communication Technology and System; IC,-,-,2014-01-01,Conference Proceedin,10
-,Easy understanding of Attribute Oriented Induction (AOI) characteristic rule algorithm,International Journal of Applied Engineering Research,11,8,2016-01-01,Journal,10
-,Goal model to business process model: A methodology for enterprise government tourism system develop,International Journal of Electrical and Computer Engineering,6,6,2016-01-01,Journal,10
-,Data warehouse development for customer WIFI access service at a telecommunication company,International Journal on Communications Antenna and Propagation,7,2,2017-01-01,Journal,10
-,Ecological Show Cave and Wild Cave: Negative Binomial Gllvm s Arthropod Community Modelling,Procedia Computer Science,135,-,2018-01-01,Conference Proceedin,10
Q2,Rapid analyses of tiny amounts of powder samples using transversely excited atmospheric CO2 laserind,Applied Spectroscopy,65,2,2011-02-01,Journal,10
Q1,The role of sub-target in the transversely excited atmospheric pressure CO,Japanese Journal of Applied Physics; Part 1: Regular Papers and Short Notes and Review Papers,37,12,1998-12-01,Journal,10
-,The Effects of Gamma Irradiation on Growth Response of Rodent Tuber (Typhonium flagelliforme Lodd.),HAYATI Journal of Biosciences,20,2,2013-06-01,Journal,10
-,Development of robot simulation software for five joints mitsubishi RV-2AJ robot using MATLAB/Simuli,Proceedings - Computer Graphics; Imaging and Visualisation; Modern Techniques and Applications; CGIV,-,-,2008-11-10,Conference Proceedin,10
-,Fundamental statistics of relatively permanent pigmented or vascular skin marks for criminal and vic,2011 International Joint Conference on Biometrics; IJCB 2011,-,-,2011-12-01,Conference Proceedin,10
Q1,Adhesion properties of indigenous dadih lactic acid bacteria on human intestinal mucosal surface,Asian-Australasian Journal of Animal Sciences,19,5,2006-01-01,Journal,10
Q1,In vivo antimutagenicity of dadih probiotic bacteria towards Trp-P1,Asian-Australasian Journal of Animal Sciences,22,1,2009-01-01,Journal,10
Q1,An effective model of multiple multi-objective evolutionary algorithms with the assistance of region,Applied Soft Computing Journal,13,5,2013-01-01,Journal,10
Q1,Effects of hydrogen dilution on ZnO thin films fabricated via nitrogen-mediated crystallization,Japanese Journal of Applied Physics,52,1 PART2,2013-01-01,Journal,10
-,On the benefits of convolutional neural network combinations in offline handwriting recognition,Proceedings of International Conference on Frontiers in Handwriting Recognition; ICFHR,-,-,2017-01-10,Conference Proceedin,10
-,What is the value of your software?,2012 3rd International Workshop on Managing Technical Debt; MTD 2012 - Proceedings,-,-,2012-07-27,Conference Proceedin,10
-,An extension of internal service quality concept: Lesson from the best low-cost carrier in the six r,International Journal of Services and Operations Management,11,1,2012-01-01,Journal,10
-,A navigation system for service robot using stereo vision and Kalman filtering,International Conference on Control; Automation and Systems,-,-,2011-12-01,Conference Proceedin,9
-,Behavioral intention to use IoT health device: The role of perceived usefulness; facilitated appropr,International Journal of Electrical and Computer Engineering,6,4,2016-08-01,Journal,9
-,A syntactical modeling and classification for performance evaluation of Bali traditional dance,2012 International Conference on Advanced Computer Science and Information Systems; ICACSIS 2012 - P,-,-,2012-12-01,Conference Proceedin,9
-,A fast bee colony optimization for traveling salesman problem,Proceedings - 3rd International Conference on Innovations in Bio-Inspired Computing and Applications,-,-,2012-12-12,Conference Proceedin,9
Q2,Ant algorithm for modifying an inconsistent pairwise weighting matrix in an analytic hierarchy proce,Neural Computing and Applications,26,2,2014-01-01,Journal,9
-,Hybrid technique using singular value decomposition (SVD) and support vector machine (SVM) approach,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,7,5,2014-01-01,Journal,9
Q3,The influence of business process and management support on accounting information system,Journal of Engineering and Applied Sciences,12,23,2017-01-01,Journal,9
Q2,Intensity distributions of enhanced H emission from laser-induced low-pressure He plasma and a sugge,Journal of Applied Physics,106,4,2009-09-09,Journal,9
Q3,A novel double-pulse laser plasma spectroscopic technique for H analysis in metal samples utilizing,Optical Review,17,3,2010-06-18,Journal,9
-,Design and Implementation of Web Based Home Electrical Appliance Monitoring; Diagnosing; and Control,Procedia Computer Science,59,-,2015-01-01,Conference Proceedin,9
Q3,The impact of knowledge management system quality on the usage continuity and recommendation intenti,Knowledge Management and E-Learning,9,2,2017-01-01,Journal,9
-,Evaluation of Recursive Background Subtraction Algorithms for Real-Time Passenger Counting at Bus Ra,Procedia Computer Science,59,-,2015-01-01,Conference Proceedin,9
-,Evaluating the Role e-Government on Public Administration Reform: Case of Official City Government W,Procedia Computer Science,59,-,2015-01-01,Conference Proceedin,9
Q3,Partial least squares regression based variables selection for water level predictions,American Journal of Applied Sciences,10,4,2013-04-25,Journal,9
-,Determinants of RFID adoption among Logistics Service Providers in malaysia: A discriminant analysis,International Journal of Logistics Systems and Management,7,3,2010-09-01,Journal,9
-,A new method of obstacle avoidance for service robots in indoor environments,ITB Journal of Engineering Science,44 B,2,2012-12-28,Journal,8
-,A framework in determining extended warranty by using two dimensional delay time model,Advanced Materials Research,433-440,-,2012-01-25,Book Series,8
-,Intellectual capital reporting: Case study of high intellectual capital corporations in Indonesia,International Journal of Learning and Intellectual Capital,14,1,2017-01-01,Journal,8
Q3,Lecturers  understanding on indexing databases of SINTA; DOAJ; Google Scholar; SCOPUS; and Web of Sc,Journal of Physics: Conference Series,954,-,2018-01-01,Journal,8
Q2,Smart integrated payment system for public transportation in jakarta,Bulletin of Electrical Engineering and Informatics,6,3,2017-09-01,Journal,8
-,Circuit design for a measurement-based quantum carry-lookahead adder,International Journal of Quantum Information,8,5,2010-08-01,Journal,8
Q4,The difference on Arthropod communities  structure within show caves and wild caves in Gunungsewu Ka,Ecology; Environment and Conservation,24,1,2018-01-01,Journal,8
Q3,Short communication: Cave-dwelling arthropod community of Semedi Show Cave in Gunungsewu Karst Area;,Biodiversitas,19,3,2018-05-01,Journal,8
Q4,Influence of uncertainty and risks on the information system,International Business Management,10,9,2016-01-01,Journal,8
Q3,The quality of accounting information system and its impact on the quality of accounting information,Journal of Engineering and Applied Sciences,13,2,2018-01-01,Journal,8
Q3,The factors that affect the quality of accounting information system empirical testing in the state-,Journal of Theoretical and Applied Information Technology,96,7,2018-03-15,Journal,8
Q3,The influence of business process and risk management on the quality of accounting information syste,Journal of Theoretical and Applied Information Technology,96,9,2018-05-15,Journal,8
Q2,Observation of exclusively He-induced H emission in cooled laser plasma,Journal of Applied Physics,109,10,2011-05-15,Journal,8
Q2,Deuterium analysis in zircaloy using ps laser-induced low pressure plasma,Journal of Applied Physics,110,6,2011-09-15,Journal,8
-,Excitation mechanism of H; He; C; and F atoms in metal-assisted atmospheric helium gas plasma induce,Japanese Journal of Applied Physics,50,12,2011-12-01,Journal,8
Q1,Sensitive analysis of carbon; chromium and silicon in steel using picosecond laser induced low press,Spectrochimica Acta - Part B Atomic Spectroscopy,114,-,2015-12-01,Journal,8
Q1,Film analysis employing subtarget effect using 355Â nm Nd-YAG laser-induced plasma at low pressure,Spectrochimica Acta - Part B Atomic Spectroscopy,61,12,2006-12-01,Journal,8
-,Stochastic Effectiveness Models for Human-Machine Systems,IEEE Transactions on Systems; Man and Cybernetics,20,4,1990-01-01,Journal,8
Q1,Integrating sol-gel with cold plasmas modified porous polycaprolactone membranes for the drug-releas,Applied Surface Science,262,-,2012-12-01,Journal,8
-,Batik Image Classification Using Treeval and Treefit as Decision Tree Function in Optimizing Content,Procedia Computer Science,59,-,2015-01-01,Conference Proceedin,8
-,On criminal identification in color skin images using skin marks (RPPVSM) and fusion with inferred v,IEEE Transactions on Information Forensics and Security,10,5,2015-05-01,Journal,8
Q1,Bacterial mutagenicity of terasi and antimutagenicity of Indonesian jasmine tea against terasi,International Journal of Food Microbiology,32,1-2,1996-01-01,Journal,8
-,Stock price prediction: Comparison of Arima and artificial neural network methods - An Indonesia sto,Proceedings - 2010 2nd International Conference on Advances in Computing; Control and Telecommunicat,-,-,2010-12-01,Conference Proceedin,8
-,Green supply chain agility in EMS ISO 14001 manufacturing firms: Empirical justification of social a,International Journal of Procurement Management,10,1,2017-01-01,Journal,8
-,Multivariate chaotic models vs neural networks in predicting storm surge dynamics,Proceedings of the International Joint Conference on Neural Networks,-,-,2008-11-24,Conference Proceedin,8
